ts,app,scenario,run_label,vm,op,kernel,threads,workload,phase,host,port,throughput_rps,avg_us,min_us,p50_us,p75_us,p90_us,p95_us,p99_us,p99_9_us,p99_99_us,max_us,rings,requests,pipeline,max_inflight,push_retries,sleep_ms,scale,degree,trials,edge_traversals,avg_time_s,throughput_teps,attach_total_ms,attach_wait_ms,attach_decrypt_ms,attach_pretouch_ms,runtime_ms,throughput_ops_sec,read_avg_us,read_p95_us,read_p99_us,update_avg_us,update_p95_us,update_p99_us,insert_avg_us,insert_p95_us,insert_p99_us,source_file
20260130_094635,redis,TDXNativeTCP,,vm2,GET,,1,,,,,82079.55,2573,1824,2559,2735,2952.6,3031,3239,8202.2,8495,8495,,,,,,,,,,,,,,,,,,,,,,,,,,,,../result_ycsb/tdx_native_tcp_20260130_094635.log
20260130_094635,redis,TDXNativeTCP,,vm2,SET,,1,,,,,13322.15,2522,1416,2223,2431,2977.308386,3479,13791,15733.020619,15735,15735,,,,,,,,,,,,,,,,,,,,,,,,,,,,../result_ycsb/tdx_native_tcp_20260130_094635.log
20260130_095703,ycsb,YCSB,ycsb_workloada_load_192.168.100.1_6379_20260130_095703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22074,453.021654,,,,,,,2150.507,2383,2657,../result_ycsb/ycsb_workloada_load_192.168.100.1_6379_20260130_095703.log
20260130_095725,ycsb,YCSB,ycsb_workloada_run_192.168.100.1_6379_20260130_095725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21047,475.127096,2018.907964,2279,2431,2048.002757,2311,2447,,,,../result_ycsb/ycsb_workloada_run_192.168.100.1_6379_20260130_095725.log
20260130_095747,ycsb,YCSB,ycsb_workloadb_load_192.168.100.1_6379_20260130_095747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21420,466.853408,,,,,,,2076.5107,2301,2517,../result_ycsb/ycsb_workloadb_load_192.168.100.1_6379_20260130_095747.log
20260130_095809,ycsb,YCSB,ycsb_workloadb_run_192.168.100.1_6379_20260130_095809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17683,565.514901,1699.570644,2097,2313,1781.630189,2241,2413,,,,../result_ycsb/ycsb_workloadb_run_192.168.100.1_6379_20260130_095809.log
20260130_095827,ycsb,YCSB,ycsb_workloadc_load_192.168.100.1_6379_20260130_095827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20267,493.412937,,,,,,,1963.0834,2183,2335,../result_ycsb/ycsb_workloadc_load_192.168.100.1_6379_20260130_095827.log
20260130_095848,ycsb,YCSB,ycsb_workloadc_run_192.168.100.1_6379_20260130_095848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19958,501.05221,1933.3175,2159,2353,,,,,,,../result_ycsb/ycsb_workloadc_run_192.168.100.1_6379_20260130_095848.log
20260130_095909,ycsb,YCSB,ycsb_workloadd_load_192.168.100.1_6379_20260130_095909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20096,497.611465,,,,,,,1946.3738,2151,2347,../result_ycsb/ycsb_workloadd_load_192.168.100.1_6379_20260130_095909.log
20260130_095929,ycsb,YCSB,ycsb_workloadd_run_192.168.100.1_6379_20260130_095929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20882,478.881333,2018.319151,2253,2397,,,,2166.507277,2511,2759,../result_ycsb/ycsb_workloadd_run_192.168.100.1_6379_20260130_095929.log
